payment_id,subscription_id,payment_date,amount,payment_status
76,9,2023-12-10,10.00,success
77,10,2024-08-15,25.00,success
78,10,2024-07-15,25.00,success
79,10,2024-06-15,25.00,success
80,10,2024-05-15,25.00,success
81,10,2024-04-15,25.00,success
82,10,2024-03-15,25.00,success
83,10,2024-02-15,25.00,success
84,10,2024-01-15,25.00,success
85,10,2023-12-15,25.00,success
86,10,2023-11-15,25.00,success
87,10,2023-10-15,25.00,success
88,10,2023-09-15,25.00,success
89,11,2025-04-03,10.00,success
90,11,2025-03-03,10.00,success
91,11,2025-02-03,10.00,failed
92,11,2025-01-03,10.00,success
93,11,2024-12-03,10.00,success
94,11,2024-11-03,10.00,success
95,11,2024-10-03,10.00,success
96,11,2024-09-03,10.00,success
97,11,2024-08-03,10.00,success
98,11,2024-07-03,10.00,success
99,12,2024-06-29,25.00,success
100,12,2024-05-29,25.00,success
101,12,2024-04-29,25.00,failed
102,12,2024-03-29,25.00,success
103,12,2024-02-29,25.00,success
104,12,2024-01-29,25.00,success
105,12,2023-12-29,25.00,success
106,12,2023-11-29,25.00,success
107,12,2023-10-29,25.00,success
108,12,2023-09-29,25.00,success
109,12,2023-08-29,25.00,success
110,12,2023-07-29,25.00,success
111,13,2024-02-27,10.00,failed
112,13,2024-01-27,10.00,success
113,13,2023-12-27,10.00,success
114,13,2023-11-27,10.00,failed
115,13,2023-10-27,10.00,success
116,14,2024-12-18,10.00,success
117,14,2024-11-18,10.00,success
118,14,2024-10-18,10.00,failed
119,14,2024-09-18,10.00,success
120,14,2024-08-18,10.00,success
121,14,2024-07-18,10.00,success
122,14,2024-06-18,10.00,failed
123,14,2024-05-18,10.00,success
124,14,2024-04-18,10.00,success
125,14,2024-03-18,10.00,failed
126,14,2024-02-18,10.00,success
127,15,2024-06-23,25.00,success
128,15,2024-05-23,25.00,success
129,15,2024-04-23,25.00,success
130,15,2024-03-23,25.00,success
131,15,2024-02-23,25.00,success
132,15,2024-01-23,25.00,success
133,15,2023-12-23,25.00,success
134,15,2023-11-23,25.00,failed
135,15,2023-10-23,25.00,success
136,15,2023-09-23,25.00,success
137,15,2023-08-23,25.00,success
138,15,2023-07-23,25.00,success
139,16,2025-01-31,10.00,success
140,16,2024-12-31,10.00,success
141,16,2024-11-30,10.00,success
142,16,2024-10-31,10.00,success
143,16,2024-09-30,10.00,success
144,16,2024-08-31,10.00,success
145,16,2024-07-31,10.00,success
146,16,2024-06-30,10.00,success
147,16,2024-05-31,10.00,success
148,17,2023-09-08,25.00,success
149,17,2023-08-08,25.00,success
150,17,2023-07-08,25.00,success
151,17,2023-06-08,25.00,success
152,17,2023-05-08,25.00,success
153,18,2023-06-28,25.00,success
154,18,2023-05-28,25.00,success
155,18,2023-04-28,25.00,success
156,18,2023-03-28,25.00,success
157,18,2023-02-28,25.00,success
158,19,2023-09-05,10.00,success
159,19,2023-08-05,10.00,success
160,20,2024-08-18,10.00,success
161,20,2024-07-18,10.00,success
162,20,2024-06-18,10.00,success
163,20,2024-05-18,10.00,success
164,20,2024-04-18,10.00,success
165,20,2024-03-18,10.00,success
166,20,2024-02-18,10.00,success
167,20,2024-01-18,10.00,success
168,21,2023-10-16,10.00,success
169,21,2023-09-16,10.00,success
170,22,2024-07-24,10.00,success
171,22,2024-06-24,10.00,failed
172,22,2024-05-24,10.00,success
173,22,2024-04-24,10.00,success
174,23,2024-11-08,10.00,success
175,23,2024-10-08,10.00,success
176,23,2024-09-08,10.00,success
177,23,2024-08-08,10.00,success
178,23,2024-07-08,10.00,success
179,24,2024-02-07,10.00,failed
180,24,2024-01-07,10.00,failed
181,24,2023-12-07,10.00,success
182,24,2023-11-07,10.00,success
183,24,2023-10-07,10.00,success
184,24,2023-09-07,10.00,success
185,24,2023-08-07,10.00,success
186,24,2023-07-07,10.00,success
187,24,2023-06-07,10.00,success
188,24,2023-05-07,10.00,success
189,25,2024-08-17,10.00,success
190,25,2024-07-17,10.00,success
191,25,2024-06-17,10.00,success
192,25,2024-05-17,10.00,success
193,25,2024-04-17,10.00,success
194,25,2024-03-17,10.00,success
195,25,2024-02-17,10.00,success
196,25,2024-01-17,10.00,success
197,25,2023-12-17,10.00,success
198,25,2023-11-17,10.00,success
199,25,2023-10-17,10.00,success
200,26,2024-12-01,25.00,success
201,26,2024-11-01,25.00,success
202,26,2024-10-01,25.00,success
203,26,2024-09-01,25.00,success
204,26,2024-08-01,25.00,success
205,26,2024-07-01,25.00,success
206,27,2024-06-03,10.00,success
207,27,2024-05-03,10.00,success
208,27,2024-04-03,10.00,success
209,27,2024-03-03,10.00,success
210,27,2024-02-03,10.00,success
211,27,2024-01-03,10.00,success
212,27,2023-12-03,10.00,success
213,27,2023-11-03,10.00,success
214,28,2024-01-02,10.00,success
215,28,2023-12-02,10.00,success
216,28,2023-11-02,10.00,success
217,28,2023-10-02,10.00,success
218,28,2023-09-02,10.00,failed
219,28,2023-08-02,10.00,success
220,28,2023-07-02,10.00,success
221,28,2023-06-02,10.00,success
222,28,2023-05-02,10.00,success
223,29,2024-06-05,25.00,success
224,29,2024-05-05,25.00,success
225,29,2024-04-05,25.00,success
226,29,2024-03-05,25.00,success
227,29,2024-02-05,25.00,success
228,29,2024-01-05,25.00,success
229,29,2023-12-05,25.00,success
230,29,2023-11-05,25.00,failed
231,29,2023-10-05,25.00,success
232,29,2023-09-05,25.00,success
233,29,2023-08-05,25.00,success
234,29,2023-07-05,25.00,success
235,30,2024-07-14,25.00,success
236,30,2024-06-14,25.00,success
237,30,2024-05-14,25.00,success
238,30,2024-04-14,25.00,success
239,30,2024-03-14,25.00,success
240,30,2024-02-14,25.00,success
241,30,2024-01-14,25.00,success
242,30,2023-12-14,25.00,success
243,30,2023-11-14,25.00,success
244,30,2023-10-14,25.00,success
245,30,2023-09-14,25.00,success
246,30,2023-08-14,25.00,success
247,31,2024-06-19,10.00,success
248,31,2024-05-19,10.00,success
249,31,2024-04-19,10.00,success
250,31,2024-03-19,10.00,success
251,31,2024-02-19,10.00,success
252,31,2024-01-19,10.00,success
253,31,2023-12-19,10.00,success
254,31,2023-11-19,10.00,success
255,32,2023-12-02,25.00,success
256,32,2023-11-02,25.00,success
257,33,2024-10-10,10.00,success
258,33,2024-09-10,10.00,success
259,33,2024-08-10,10.00,success
260,33,2024-07-10,10.00,success
261,33,2024-06-10,10.00,success
262,33,2024-05-10,10.00,success
263,33,2024-04-10,10.00,success
264,33,2024-03-10,10.00,success
265,33,2024-02-10,10.00,success
266,33,2024-01-10,10.00,success
267,33,2023-12-10,10.00,success
268,34,2024-01-03,10.00,success
269,34,2023-12-03,10.00,success
270,34,2023-11-03,10.00,success
271,34,2023-10-03,10.00,success
272,34,2023-09-03,10.00,failed
273,34,2023-08-03,10.00,success
274,34,2023-07-03,10.00,success
275,34,2023-06-03,10.00,success
276,34,2023-05-03,10.00,success
277,34,2023-04-03,10.00,success
278,34,2023-03-03,10.00,success
279,34,2023-02-03,10.00,success
280,35,2024-11-14,10.00,success
281,35,2024-10-14,10.00,success
282,35,2024-09-14,10.00,success
283,35,2024-08-14,10.00,success
284,35,2024-07-14,10.00,success
285,35,2024-06-14,10.00,success
286,36,2024-07-29,25.00,success
287,36,2024-06-29,25.00,success
288,36,2024-05-29,25.00,success
289,36,2024-04-29,25.00,success
290,36,2024-03-29,25.00,success
291,37,2024-10-21,10.00,success
292,37,2024-09-21,10.00,success
293,37,2024-08-21,10.00,success
294,37,2024-07-21,10.00,success
295,37,2024-06-21,10.00,success
296,37,2024-05-21,10.00,success
297,37,2024-04-21,10.00,success
298,37,2024-03-21,10.00,success
299,37,2024-02-21,10.00,success
300,37,2024-01-21,10.00,success
301,37,2023-12-21,10.00,success
302,37,2023-11-21,10.00,failed
303,38,2024-09-12,10.00,success
304,38,2024-08-12,10.00,success
305,38,2024-07-12,10.00,success
306,38,2024-06-12,10.00,success
307,38,2024-05-12,10.00,success
308,38,2024-04-12,10.00,success
309,38,2024-03-12,10.00,failed
310,38,2024-02-12,10.00,success
311,38,2024-01-12,10.00,success
312,38,2023-12-12,10.00,success
313,39,2024-06-11,10.00,success
314,39,2024-05-11,10.00,failed
315,39,2024-04-11,10.00,success
316,39,2024-03-11,10.00,success
317,39,2024-02-11,10.00,success
318,40,2024-12-03,10.00,success
319,40,2024-11-03,10.00,success
320,40,2024-10-03,10.00,success
321,40,2024-09-03,10.00,success
322,40,2024-08-03,10.00,success
323,40,2024-07-03,10.00,success
324,40,2024-06-03,10.00,success
325,40,2024-05-03,10.00,success
326,40,2024-04-03,10.00,success
327,41,2023-03-05,10.00,failed
328,41,2023-02-05,10.00,success
329,42,2024-02-16,10.00,success
330,42,2024-01-16,10.00,success
331,42,2023-12-16,10.00,success
332,42,2023-11-16,10.00,success
333,42,2023-10-16,10.00,success
334,42,2023-09-16,10.00,success
335,43,2023-12-30,10.00,success
336,43,2023-11-30,10.00,success
337,43,2023-10-30,10.00,success
338,43,2023-09-30,10.00,success
339,43,2023-08-30,10.00,success
340,43,2023-07-30,10.00,success
341,43,2023-06-30,10.00,success
342,44,2025-05-03,25.00,success
343,44,2025-04-03,25.00,success
344,44,2025-03-03,25.00,success
345,44,2025-02-03,25.00,success
346,44,2025-01-03,25.00,success
347,44,2024-12-03,25.00,success
348,44,2024-11-03,25.00,failed
349,44,2024-10-03,25.00,success
350,44,2024-09-03,25.00,success
351,44,2024-08-03,25.00,success
352,44,2024-07-03,25.00,success
353,44,2024-06-03,25.00,success
354,45,2025-03-14,25.00,success
355,45,2025-02-14,25.00,success
356,45,2025-01-14,25.00,success
357,45,2024-12-14,25.00,success
358,45,2024-11-14,25.00,success
359,45,2024-10-14,25.00,success
360,45,2024-09-14,25.00,success
361,45,2024-08-14,25.00,success
362,45,2024-07-14,25.00,success
363,45,2024-06-14,25.00,success
364,45,2024-05-14,25.00,success
365,46,2024-09-14,10.00,success
366,46,2024-08-14,10.00,success
367,46,2024-07-14,10.00,success
368,46,2024-06-14,10.00,success
369,46,2024-05-14,10.00,success
370,46,2024-04-14,10.00,success
371,46,2024-03-14,10.00,success
372,46,2024-02-14,10.00,success
373,47,2024-05-12,10.00,success
374,47,2024-04-12,10.00,success
375,47,2024-03-12,10.00,success
376,47,2024-02-12,10.00,success
377,47,2024-01-12,10.00,success
378,47,2023-12-12,10.00,success
379,47,2023-11-12,10.00,success
380,47,2023-10-12,10.00,success
381,47,2023-09-12,10.00,success
382,48,2024-09-24,10.00,success
383,48,2024-08-24,10.00,success
384,48,2024-07-24,10.00,success
385,48,2024-06-24,10.00,success
386,48,2024-05-24,10.00,success
387,48,2024-04-24,10.00,success
388,48,2024-03-24,10.00,success
389,48,2024-02-24,10.00,success
390,48,2024-01-24,10.00,success
391,49,2024-02-22,10.00,success
392,49,2024-01-22,10.00,success
393,49,2023-12-22,10.00,success
394,49,2023-11-22,10.00,success
395,50,2024-01-14,25.00,success
396,50,2023-12-14,25.00,success
397,50,2023-11-14,25.00,success
398,50,2023-10-14,25.00,success
399,50,2023-09-14,25.00,success
400,50,2023-08-14,25.00,success
401,50,2023-07-14,25.00,success
402,50,2023-06-14,25.00,success
403,50,2023-05-14,25.00,success
404,50,2023-04-14,25.00,success
405,50,2023-03-14,25.00,success
406,50,2023-02-14,25.00,success
407,51,2024-02-05,10.00,failed
408,51,2024-01-05,10.00,success
409,51,2023-12-05,10.00,success
410,51,2023-11-05,10.00,success
411,51,2023-10-05,10.00,success
412,51,2023-09-05,10.00,success
413,51,2023-08-05,10.00,success
414,51,2023-07-05,10.00,success
415,51,2023-06-05,10.00,success
416,51,2023-05-05,10.00,success
417,51,2023-04-05,10.00,success
418,52,2023-05-22,10.00,success
419,52,2023-04-22,10.00,success
420,53,2025-04-06,10.00,success
421,53,2025-03-06,10.00,success
422,53,2025-02-06,10.00,success
423,53,2025-01-06,10.00,success
424,53,2024-12-06,10.00,success
425,53,2024-11-06,10.00,failed
426,53,2024-10-06,10.00,success
427,53,2024-09-06,10.00,success
428,53,2024-08-06,10.00,success
429,53,2024-07-06,10.00,success
430,53,2024-06-06,10.00,success
431,54,2024-11-03,10.00,success
432,54,2024-10-03,10.00,success
433,54,2024-09-03,10.00,success
434,54,2024-08-03,10.00,success
435,54,2024-07-03,10.00,success
436,55,2025-01-29,10.00,success
437,55,2024-12-29,10.00,success
438,55,2024-11-29,10.00,success
439,55,2024-10-29,10.00,success
440,55,2024-09-29,10.00,success
441,55,2024-08-29,10.00,success
442,55,2024-07-29,10.00,success
443,55,2024-06-29,10.00,success
444,55,2024-05-29,10.00,success
445,55,2024-04-29,10.00,success
446,55,2024-03-29,10.00,failed
447,55,2024-02-29,10.00,success
448,56,2023-08-17,10.00,success
449,56,2023-07-17,10.00,success
450,56,2023-06-17,10.00,success
451,56,2023-05-17,10.00,success
452,56,2023-04-17,10.00,success
453,56,2023-03-17,10.00,success
454,56,2023-02-17,10.00,success
455,57,2024-03-26,10.00,success
456,57,2024-02-26,10.00,failed
457,57,2024-01-26,10.00,success
458,57,2023-12-26,10.00,success
459,57,2023-11-26,10.00,success
460,57,2023-10-26,10.00,success
461,57,2023-09-26,10.00,success
462,58,2024-08-13,10.00,success
463,58,2024-07-13,10.00,success
464,58,2024-06-13,10.00,success
465,58,2024-05-13,10.00,success
466,58,2024-04-13,10.00,success
467,58,2024-03-13,10.00,success
468,58,2024-02-13,10.00,success
469,59,2024-06-29,25.00,success
470,59,2024-05-29,25.00,success
471,59,2024-04-29,25.00,success
472,59,2024-03-29,25.00,success
473,59,2024-02-29,25.00,success
474,59,2024-01-29,25.00,success
475,59,2023-12-29,25.00,success
476,59,2023-11-29,25.00,success
477,59,2023-10-29,25.00,success
478,59,2023-09-29,25.00,success
479,59,2023-08-29,25.00,success
480,60,2024-08-26,10.00,success
481,60,2024-07-26,10.00,success
482,60,2024-06-26,10.00,success
483,61,2024-10-22,10.00,success
484,61,2024-09-22,10.00,success
485,61,2024-08-22,10.00,success
486,61,2024-07-22,10.00,success
487,61,2024-06-22,10.00,success
488,61,2024-05-22,10.00,success
489,61,2024-04-22,10.00,success
490,61,2024-03-22,10.00,success
491,61,2024-02-22,10.00,success
492,61,2024-01-22,10.00,success
493,61,2023-12-22,10.00,success
494,61,2023-11-22,10.00,success
495,62,2024-07-25,10.00,success
496,62,2024-06-25,10.00,success
497,62,2024-05-25,10.00,success
498,62,2024-04-25,10.00,success
499,62,2024-03-25,10.00,success
500,62,2024-02-25,10.00,success
501,62,2024-01-25,10.00,success
502,62,2023-12-25,10.00,success
503,62,2023-11-25,10.00,success
504,63,2024-12-25,25.00,success
505,63,2024-11-25,25.00,success
506,63,2024-10-25,25.00,success
507,63,2024-09-25,25.00,success
508,63,2024-08-25,25.00,success
509,63,2024-07-25,25.00,success
510,63,2024-06-25,25.00,success
511,64,2024-09-26,10.00,failed
512,64,2024-08-26,10.00,success
513,64,2024-07-26,10.00,success
514,64,2024-06-26,10.00,success
515,64,2024-05-26,10.00,success
516,65,2024-01-15,10.00,success
517,65,2023-12-15,10.00,success
518,65,2023-11-15,10.00,success
519,65,2023-10-15,10.00,success
520,65,2023-09-15,10.00,success
521,65,2023-08-15,10.00,success
522,66,2023-10-22,10.00,success
523,66,2023-09-22,10.00,success
524,66,2023-08-22,10.00,success
525,67,2024-11-07,10.00,success
526,67,2024-10-07,10.00,success
527,67,2024-09-07,10.00,success
528,67,2024-08-07,10.00,success
529,67,2024-07-07,10.00,success
530,67,2024-06-07,10.00,success
531,67,2024-05-07,10.00,success
532,67,2024-04-07,10.00,failed
533,67,2024-03-07,10.00,success
534,67,2024-02-07,10.00,success
535,67,2024-01-07,10.00,success
536,67,2023-12-07,10.00,success
537,68,2023-06-20,25.00,success
538,68,2023-05-20,25.00,success
539,68,2023-04-20,25.00,success
540,69,2024-03-09,10.00,success
541,69,2024-02-09,10.00,success
542,69,2024-01-09,10.00,success
543,69,2023-12-09,10.00,success
544,69,2023-11-09,10.00,success
545,69,2023-10-09,10.00,failed
546,69,2023-09-09,10.00,success
547,69,2023-08-09,10.00,success
548,69,2023-07-09,10.00,success
549,69,2023-06-09,10.00,success
550,70,2024-04-23,10.00,success
551,70,2024-03-23,10.00,success
552,70,2024-02-23,10.00,failed
553,70,2024-01-23,10.00,success
554,70,2023-12-23,10.00,success
555,70,2023-11-23,10.00,success
556,70,2023-10-23,10.00,success
557,70,2023-09-23,10.00,success
558,70,2023-08-23,10.00,success
559,70,2023-07-23,10.00,success
560,70,2023-06-23,10.00,success
561,70,2023-05-23,10.00,success
562,71,2024-12-16,25.00,success
563,71,2024-11-16,25.00,success
564,71,2024-10-16,25.00,success
565,71,2024-09-16,25.00,success
566,71,2024-08-16,25.00,success
567,71,2024-07-16,25.00,success
568,71,2024-06-16,25.00,success
569,71,2024-05-16,25.00,success
570,71,2024-04-16,25.00,success
571,71,2024-03-16,25.00,success
572,71,2024-02-16,25.00,success
573,71,2024-01-16,25.00,success
574,72,2023-12-17,10.00,success
575,72,2023-11-17,10.00,success
576,72,2023-10-17,10.00,failed
577,72,2023-09-17,10.00,success
578,72,2023-08-17,10.00,success
579,72,2023-07-17,10.00,success
580,72,2023-06-17,10.00,success
581,72,2023-05-17,10.00,success
582,72,2023-04-17,10.00,success
583,72,2023-03-17,10.00,success
584,73,2024-07-02,25.00,failed
585,73,2024-06-02,25.00,success
586,73,2024-05-02,25.00,success
587,74,2024-06-16,10.00,success
588,74,2024-05-16,10.00,success
589,74,2024-04-16,10.00,success
590,74,2024-03-16,10.00,success
591,74,2024-02-16,10.00,success
592,74,2024-01-16,10.00,success
593,74,2023-12-16,10.00,success
594,74,2023-11-16,10.00,success
595,74,2023-10-16,10.00,success
596,74,2023-09-16,10.00,success
597,75,2024-03-22,10.00,success
598,75,2024-02-22,10.00,success
599,75,2024-01-22,10.00,failed
600,75,2023-12-22,10.00,success
601,75,2023-11-22,10.00,success
602,75,2023-10-22,10.00,success
603,75,2023-09-22,10.00,success
604,75,2023-08-22,10.00,success
605,76,2024-01-16,10.00,success
606,76,2023-12-16,10.00,success
607,76,2023-11-16,10.00,success
608,76,2023-10-16,10.00,success
609,76,2023-09-16,10.00,success
610,76,2023-08-16,10.00,failed
611,76,2023-07-16,10.00,success
612,76,2023-06-16,10.00,success
613,77,2024-04-22,10.00,success
614,77,2024-03-22,10.00,success
615,77,2024-02-22,10.00,success
616,77,2024-01-22,10.00,success
617,77,2023-12-22,10.00,success
618,77,2023-11-22,10.00,success
619,77,2023-10-22,10.00,success
620,77,2023-09-22,10.00,success
621,77,2023-08-22,10.00,success
622,77,2023-07-22,10.00,success
623,77,2023-06-22,10.00,success
624,77,2023-05-22,10.00,success
625,78,2024-12-22,10.00,success
626,78,2024-11-22,10.00,success
627,78,2024-10-22,10.00,success
628,78,2024-09-22,10.00,success
629,78,2024-08-22,10.00,success
630,78,2024-07-22,10.00,success
631,78,2024-06-22,10.00,success
632,79,2023-11-18,10.00,success
633,79,2023-10-18,10.00,success
634,79,2023-09-18,10.00,success
635,79,2023-08-18,10.00,success
636,79,2023-07-18,10.00,success
637,80,2025-01-22,10.00,success
638,80,2024-12-22,10.00,success
639,80,2024-11-22,10.00,success
640,80,2024-10-22,10.00,success
641,80,2024-09-22,10.00,success
642,80,2024-08-22,10.00,success
643,80,2024-07-22,10.00,success
644,80,2024-06-22,10.00,success
645,80,2024-05-22,10.00,success
646,80,2024-04-22,10.00,success
647,80,2024-03-22,10.00,success
648,80,2024-02-22,10.00,success
649,81,2023-12-12,25.00,success
650,81,2023-11-12,25.00,success
651,81,2023-10-12,25.00,success
652,81,2023-09-12,25.00,success
653,81,2023-08-12,25.00,success
654,81,2023-07-12,25.00,success
655,81,2023-06-12,25.00,failed
656,81,2023-05-12,25.00,success
657,82,2025-02-15,10.00,success
658,82,2025-01-15,10.00,success
659,82,2024-12-15,10.00,failed
660,82,2024-11-15,10.00,success
661,82,2024-10-15,10.00,success
662,82,2024-09-15,10.00,success
663,82,2024-08-15,10.00,success
664,82,2024-07-15,10.00,failed
665,82,2024-06-15,10.00,success
666,82,2024-05-15,10.00,failed
667,83,2024-08-17,10.00,success
668,83,2024-07-17,10.00,success
669,83,2024-06-17,10.00,success
670,83,2024-05-17,10.00,success
671,83,2024-04-17,10.00,success
672,83,2024-03-17,10.00,success
673,83,2024-02-17,10.00,success
674,83,2024-01-17,10.00,success
675,83,2023-12-17,10.00,success
676,83,2023-11-17,10.00,success
677,83,2023-10-17,10.00,success
678,84,2024-05-02,10.00,success
679,84,2024-04-02,10.00,success
680,84,2024-03-02,10.00,success
681,84,2024-02-02,10.00,success
682,84,2024-01-02,10.00,success
683,84,2023-12-02,10.00,success
684,84,2023-11-02,10.00,success
685,85,2023-08-12,10.00,success
686,85,2023-07-12,10.00,success
687,85,2023-06-12,10.00,success
688,86,2024-04-28,10.00,success
689,86,2024-03-28,10.00,success
690,86,2024-02-28,10.00,success
691,86,2024-01-28,10.00,success
692,86,2023-12-28,10.00,success
693,86,2023-11-28,10.00,success
694,86,2023-10-28,10.00,success
695,86,2023-09-28,10.00,success
696,87,2024-07-29,25.00,success
697,87,2024-06-29,25.00,success
698,87,2024-05-29,25.00,success
699,88,2024-04-28,25.00,success
700,88,2024-03-28,25.00,success
701,88,2024-02-28,25.00,success
702,88,2024-01-28,25.00,success
703,88,2023-12-28,25.00,success
704,88,2023-11-28,25.00,success
705,88,2023-10-28,25.00,success
706,88,2023-09-28,25.00,success
707,88,2023-08-28,25.00,success
708,88,2023-07-28,25.00,success
709,88,2023-06-28,25.00,success
710,88,2023-05-28,25.00,success
711,89,2024-03-02,10.00,success
712,89,2024-02-02,10.00,success
713,89,2024-01-02,10.00,success
714,89,2023-12-02,10.00,success
715,89,2023-11-02,10.00,failed
716,89,2023-10-02,10.00,success
717,90,2023-09-04,10.00,success
718,90,2023-08-04,10.00,success
719,90,2023-07-04,10.00,success
720,90,2023-06-04,10.00,success
721,91,2024-10-04,25.00,success
722,91,2024-09-04,25.00,success
723,91,2024-08-04,25.00,success
724,91,2024-07-04,25.00,success
725,91,2024-06-04,25.00,success
726,91,2024-05-04,25.00,success
727,91,2024-04-04,25.00,success
728,91,2024-03-04,25.00,success
729,91,2024-02-04,25.00,success
730,91,2024-01-04,25.00,success
731,91,2023-12-04,25.00,success
732,91,2023-11-04,25.00,success
733,92,2024-04-30,10.00,success
734,92,2024-03-31,10.00,success
735,92,2024-02-29,10.00,success
736,92,2024-01-31,10.00,success
737,93,2024-01-21,10.00,success
738,93,2023-12-21,10.00,success
739,93,2023-11-21,10.00,success
740,93,2023-10-21,10.00,success
741,93,2023-09-21,10.00,success
742,93,2023-08-21,10.00,success
743,93,2023-07-21,10.00,success
744,93,2023-06-21,10.00,success
745,93,2023-05-21,10.00,success
746,94,2025-03-15,10.00,success
747,94,2025-02-15,10.00,success
748,94,2025-01-15,10.00,success
749,94,2024-12-15,10.00,success
750,94,2024-11-15,10.00,success
751,94,2024-10-15,10.00,success
752,94,2024-09-15,10.00,success
753,94,2024-08-15,10.00,success
754,94,2024-07-15,10.00,success
755,94,2024-06-15,10.00,success
756,94,2024-05-15,10.00,success
757,94,2024-04-15,10.00,success
758,95,2024-09-25,25.00,success
759,95,2024-08-25,25.00,success
760,95,2024-07-25,25.00,success
761,95,2024-06-25,25.00,success
762,95,2024-05-25,25.00,success
763,96,2024-12-10,10.00,success
764,96,2024-11-10,10.00,success
765,96,2024-10-10,10.00,success
766,96,2024-09-10,10.00,success
767,96,2024-08-10,10.00,success
768,96,2024-07-10,10.00,success
769,96,2024-06-10,10.00,success
770,96,2024-05-10,10.00,success
771,96,2024-04-10,10.00,success
772,96,2024-03-10,10.00,success
773,96,2024-02-10,10.00,success
774,96,2024-01-10,10.00,success
775,97,2024-02-09,25.00,success
776,97,2024-01-09,25.00,success
777,97,2023-12-09,25.00,success
778,97,2023-11-09,25.00,success
779,97,2023-10-09,25.00,success
780,97,2023-09-09,25.00,failed
781,97,2023-08-09,25.00,success
782,97,2023-07-09,25.00,success
783,97,2023-06-09,25.00,success
784,97,2023-05-09,25.00,success
785,98,2024-07-24,10.00,success
786,98,2024-06-24,10.00,success
787,98,2024-05-24,10.00,success
788,98,2024-04-24,10.00,success
789,98,2024-03-24,10.00,success
790,98,2024-02-24,10.00,success
791,98,2024-01-24,10.00,success
792,98,2023-12-24,10.00,success
793,98,2023-11-24,10.00,failed
794,98,2023-10-24,10.00,success
795,98,2023-09-24,10.00,success
796,98,2023-08-24,10.00,success
797,99,2024-04-04,10.00,success
798,99,2024-03-04,10.00,success
799,99,2024-02-04,10.00,success
800,99,2024-01-04,10.00,success
801,99,2023-12-04,10.00,success
802,99,2023-11-04,10.00,success
803,100,2024-09-20,10.00,success
804,100,2024-08-20,10.00,failed
805,100,2024-07-20,10.00,success
806,100,2024-06-20,10.00,success
807,100,2024-05-20,10.00,success
808,100,2024-04-20,10.00,success
809,100,2024-03-20,10.00,success
810,100,2024-02-20,10.00,success
811,100,2024-01-20,10.00,success
812,100,2023-12-20,10.00,success
813,101,2023-08-24,10.00,success
814,101,2023-07-24,10.00,success
815,101,2023-06-24,10.00,success
816,101,2023-05-24,10.00,success
817,101,2023-04-24,10.00,success
818,101,2023-03-24,10.00,success
