subscription_id,user_id,plan_type,start_date,end_date,status
130,518,Basic,2023-09-10,2024-02-10,cancelled
131,526,Basic,2024-04-21,2025-02-21,active
132,530,Basic,2024-06-02,2024-08-02,active
133,533,Basic,2023-04-14,2023-11-14,active
134,534,Pro,2023-08-27,2024-04-27,cancelled
135,539,Basic,2023-01-21,2023-07-21,cancelled
136,541,Basic,2024-05-08,2024-08-08,cancelled
137,542,Pro,2024-01-27,2024-03-27,cancelled
138,551,Basic,2024-01-13,2024-11-13,cancelled
139,560,Pro,2024-04-25,2024-06-25,active
140,565,Pro,2024-01-13,2024-04-13,cancelled
141,567,Basic,2023-05-16,2023-10-16,active
142,572,Basic,2023-05-20,2023-11-20,cancelled
143,578,Basic,2024-03-10,2024-10-10,cancelled
144,579,Basic,2023-02-03,2024-01-03,active
145,584,Pro,2023-09-01,2024-06-01,active
146,586,Basic,2023-09-22,2024-05-22,cancelled
147,590,Basic,2023-02-05,2023-08-05,cancelled
148,594,Basic,2023-07-06,2024-05-06,active
149,596,Basic,2024-01-28,2024-08-28,cancelled
150,602,Basic,2023-08-31,2023-11-30,cancelled
151,605,Basic,2023-08-04,2024-08-04,cancelled
152,614,Pro,2023-08-21,2024-08-21,cancelled
153,616,Pro,2024-06-13,2024-08-13,cancelled
154,621,Basic,2023-11-11,2024-09-11,active
155,640,Pro,2024-01-22,2024-07-22,active
156,653,Basic,2023-02-20,2023-11-20,cancelled
157,661,Basic,2023-03-28,2023-08-28,active
158,663,Basic,2024-01-11,2024-03-11,cancelled
159,667,Basic,2024-05-22,2024-10-22,cancelled
160,668,Pro,2023-05-30,2023-06-30,active
161,669,Pro,2024-05-07,2024-06-07,active
162,670,Basic,2023-02-24,2023-03-24,cancelled
163,674,Basic,2024-05-27,2024-06-27,cancelled
164,682,Basic,2024-03-25,2025-03-25,active
165,685,Basic,2023-12-24,2024-07-24,cancelled
166,693,Pro,2024-05-30,2024-08-30,cancelled
167,694,Pro,2023-02-22,2023-03-22,cancelled
168,695,Basic,2023-03-24,2023-08-24,cancelled
169,699,Pro,2023-12-04,2024-04-04,cancelled
170,709,Basic,2024-01-21,2024-10-21,cancelled
171,711,Basic,2023-02-01,2023-09-01,cancelled
172,714,Basic,2023-03-13,2024-01-13,cancelled
173,715,Basic,2023-06-27,2024-04-27,cancelled
174,728,Basic,2024-05-10,2024-09-10,cancelled
175,731,Basic,2023-03-29,2024-03-29,active
176,732,Basic,2023-04-02,2024-03-02,cancelled
177,733,Basic,2023-07-17,2024-01-17,cancelled
178,737,Basic,2023-08-12,2023-11-12,cancelled
179,739,Basic,2023-10-20,2023-11-20,active
180,761,Basic,2024-04-30,2024-12-30,active
181,763,Basic,2023-02-12,2024-01-12,cancelled
182,765,Basic,2024-04-18,2024-06-18,active
183,770,Basic,2023-11-13,2024-01-13,cancelled
184,778,Basic,2023-12-26,2024-12-26,active
185,780,Pro,2023-10-14,2024-03-14,active
186,782,Basic,2023-11-16,2024-09-16,active
187,787,Basic,2023-08-07,2023-09-07,cancelled
188,795,Basic,2023-06-23,2023-10-23,active
189,799,Basic,2023-06-10,2023-09-10,cancelled
190,803,Pro,2023-08-08,2023-10-08,cancelled
191,805,Basic,2024-02-20,2024-10-20,cancelled
192,810,Basic,2023-04-08,2024-03-08,active
193,814,Pro,2023-03-13,2023-10-13,active
194,819,Basic,2023-04-30,2024-04-30,cancelled
195,821,Basic,2024-02-23,2024-08-23,cancelled
196,824,Pro,2024-03-10,2024-09-10,active
197,825,Basic,2024-01-06,2024-12-06,active
198,826,Basic,2023-09-24,2024-02-24,cancelled
199,827,Basic,2023-10-11,2024-09-11,cancelled
200,832,Pro,2024-02-27,2024-03-27,active
201,834,Basic,2023-07-11,2024-01-11,cancelled
202,835,Pro,2023-03-16,2023-10-16,active
203,839,Basic,2023-02-22,2023-09-22,active
204,847,Basic,2024-02-26,2025-02-26,active
205,848,Basic,2024-04-18,2025-03-18,cancelled
206,851,Pro,2023-08-24,2023-11-24,cancelled
207,857,Basic,2023-05-26,2023-06-26,cancelled
208,861,Pro,2024-04-08,2024-06-08,active
209,863,Basic,2024-04-19,2024-10-19,cancelled
210,864,Pro,2024-03-26,2024-08-26,active
211,868,Basic,2023-07-01,2023-10-01,cancelled
212,872,Pro,2023-09-10,2024-06-10,active
213,874,Basic,2024-06-08,2024-09-08,cancelled
214,880,Basic,2023-10-23,2024-08-23,cancelled
215,882,Basic,2024-03-20,2024-05-20,active
216,884,Basic,2024-03-27,2025-03-27,active
217,889,Basic,2024-02-26,2025-02-26,cancelled
218,893,Basic,2024-05-17,2024-09-17,cancelled
219,896,Basic,2023-07-01,2024-04-01,cancelled
220,901,Pro,2024-01-16,2024-08-16,cancelled
221,906,Basic,2024-02-11,2024-10-11,active
222,908,Basic,2023-02-23,2023-03-23,active
223,910,Basic,2023-05-27,2023-11-27,cancelled
224,912,Basic,2024-01-01,2024-08-01,active
225,924,Basic,2024-01-03,2024-07-03,cancelled
226,925,Pro,2023-11-24,2024-11-24,cancelled
227,932,Basic,2023-05-13,2024-04-13,cancelled
228,934,Pro,2024-07-01,2024-10-01,active
229,942,Basic,2023-02-07,2023-06-07,cancelled
230,944,Basic,2024-07-25,2025-07-25,cancelled
231,945,Basic,2023-02-20,2023-05-20,cancelled
232,947,Basic,2023-06-24,2023-11-24,cancelled
233,948,Basic,2024-01-24,2024-02-24,active
234,949,Basic,2023-10-12,2024-06-12,cancelled
235,956,Basic,2023-08-11,2024-01-11,cancelled
236,960,Pro,2023-02-23,2023-07-23,active
237,963,Basic,2023-03-14,2023-10-14,cancelled
238,967,Pro,2023-07-15,2023-11-15,cancelled
239,968,Pro,2024-03-22,2025-03-22,cancelled
240,972,Basic,2023-02-21,2023-04-21,active
241,974,Pro,2023-03-18,2023-08-18,cancelled
242,975,Basic,2024-04-13,2024-06-13,cancelled
243,979,Basic,2024-02-10,2024-07-10,active
244,981,Pro,2024-03-01,2024-09-01,active
245,986,Pro,2024-07-01,2025-04-01,active
246,987,Basic,2024-02-05,2024-03-05,cancelled
247,991,Basic,2023-06-12,2023-08-12,cancelled
248,993,Basic,2023-11-20,2024-04-20,active
249,1004,Basic,2024-07-03,2024-08-03,cancelled
250,1017,Basic,2024-03-08,2024-10-08,cancelled
251,1020,Basic,2023-08-15,2024-04-15,cancelled
252,1023,Basic,2023-08-12,2024-01-12,cancelled
253,1026,Basic,2023-02-18,2023-12-18,active
254,1033,Basic,2024-06-04,2025-03-04,cancelled
255,1046,Basic,2023-12-25,2024-01-25,cancelled
256,1048,Pro,2024-03-13,2024-04-13,cancelled
257,1051,Basic,2023-11-04,2023-12-04,cancelled
258,1052,Basic,2023-07-20,2024-02-20,active
259,1056,Basic,2024-03-17,2025-01-17,cancelled
260,1064,Basic,2024-04-05,2025-04-05,cancelled
261,1068,Basic,2023-06-19,2024-03-19,active
262,1070,Basic,2024-01-27,2024-12-27,cancelled
263,1078,Basic,2024-02-01,2024-09-01,cancelled
264,1094,Basic,2023-08-07,2024-06-07,cancelled
265,1117,Pro,2023-12-07,2024-02-07,cancelled
266,1118,Basic,2023-10-20,2024-04-20,active
267,1119,Basic,2023-03-02,2024-03-02,active
268,1128,Basic,2023-10-29,2024-07-29,cancelled
269,1135,Basic,2023-11-07,2024-11-07,cancelled
270,1138,Basic,2023-12-20,2024-07-20,cancelled
271,1139,Basic,2023-04-11,2023-10-11,active
272,1142,Pro,2023-09-13,2024-08-13,active
273,1145,Basic,2023-12-28,2024-02-28,active
274,1147,Basic,2024-04-17,2025-01-17,active
275,1148,Pro,2023-10-29,2023-11-29,cancelled
276,1161,Pro,2023-09-01,2024-07-01,cancelled
277,1165,Pro,2023-08-25,2024-04-25,active
278,1169,Pro,2023-09-23,2024-07-23,cancelled
279,1171,Basic,2023-09-04,2024-08-04,cancelled
280,1174,Basic,2023-07-29,2024-03-29,cancelled
281,1175,Basic,2023-03-24,2024-01-24,cancelled
282,1176,Pro,2023-12-23,2024-08-23,cancelled
283,1178,Basic,2024-06-21,2024-10-21,cancelled
284,1180,Basic,2023-12-26,2024-06-26,cancelled
285,1181,Basic,2023-09-23,2024-07-23,cancelled
286,1182,Basic,2023-11-08,2023-12-08,cancelled
287,1187,Basic,2023-01-14,2023-04-14,cancelled
288,1189,Pro,2024-02-19,2024-08-19,active
289,1191,Basic,2023-08-29,2024-04-29,active
290,1197,Basic,2024-04-16,2024-06-16,cancelled
291,1201,Basic,2024-05-24,2025-05-24,active
292,1208,Basic,2023-03-20,2024-02-20,active
293,1209,Basic,2024-04-20,2024-06-20,active
294,1225,Basic,2023-12-25,2024-05-25,active
295,1228,Pro,2024-03-06,2025-03-06,cancelled
296,1245,Basic,2023-09-11,2024-04-11,cancelled
297,1247,Basic,2024-05-28,2024-08-28,active
298,1255,Basic,2023-02-10,2023-10-10,cancelled
299,1258,Basic,2023-05-11,2024-03-11,cancelled
300,1262,Pro,2023-05-13,2023-08-13,cancelled
301,1270,Basic,2024-03-31,2024-05-31,active
302,1276,Pro,2023-08-24,2024-05-24,active
303,1279,Basic,2024-03-11,2025-02-11,cancelled
304,1280,Basic,2023-05-13,2023-08-13,cancelled
305,1281,Pro,2023-09-25,2024-02-25,active
306,1283,Basic,2024-02-18,2024-06-18,cancelled
307,1290,Basic,2023-12-22,2024-01-22,cancelled
308,1294,Basic,2023-03-23,2023-12-23,cancelled
309,1302,Basic,2023-12-30,2024-04-30,cancelled
310,1305,Basic,2023-08-27,2024-04-27,active
311,1313,Pro,2023-09-13,2024-07-13,active
312,1323,Basic,2023-06-29,2023-10-29,active
313,1325,Pro,2024-06-01,2024-10-01,active
314,1327,Pro,2023-07-31,2024-02-29,active
315,1329,Pro,2024-06-26,2025-01-26,active
316,1331,Basic,2023-05-21,2023-10-21,cancelled
317,1332,Pro,2024-05-12,2025-02-12,active
318,1336,Pro,2023-12-20,2024-09-20,cancelled
319,1349,Basic,2023-04-08,2023-11-08,cancelled
320,1350,Pro,2023-04-24,2023-09-24,cancelled
321,1353,Basic,2023-03-04,2023-10-04,cancelled
322,1355,Basic,2023-05-12,2023-10-12,cancelled
323,1360,Basic,2023-11-15,2024-10-15,active
324,1363,Basic,2024-04-18,2024-08-18,cancelled
325,1367,Pro,2023-06-11,2024-06-11,cancelled
326,1373,Pro,2023-07-15,2023-11-15,cancelled
327,1375,Basic,2023-04-14,2024-03-14,cancelled
328,1378,Basic,2023-05-25,2023-11-25,active
329,1379,Pro,2023-12-08,2024-09-08,active
330,1385,Basic,2023-06-07,2024-01-07,cancelled
331,1387,Pro,2023-10-25,2024-05-25,cancelled
332,1391,Basic,2023-06-03,2024-06-03,active
333,1392,Basic,2023-09-14,2023-11-14,cancelled
334,1393,Pro,2023-09-03,2024-02-03,active
335,1397,Basic,2024-05-13,2024-10-13,active
336,1399,Basic,2023-07-01,2023-09-01,cancelled
337,1400,Pro,2024-03-12,2025-02-12,cancelled
338,1401,Basic,2023-07-17,2023-08-17,cancelled
339,1404,Pro,2023-08-25,2024-02-25,active
340,1405,Basic,2023-04-14,2023-05-14,active
341,1409,Pro,2023-01-21,2024-01-21,active
342,1414,Basic,2023-03-05,2023-10-05,cancelled
343,1417,Pro,2023-06-07,2024-03-07,cancelled
344,1425,Pro,2023-05-05,2024-01-05,active
345,1431,Basic,2023-02-09,2024-01-09,cancelled
346,1432,Enterprise,2024-07-21,2025-03-21,active
347,1439,Basic,2023-04-06,2023-08-06,active
348,1441,Basic,2024-07-09,2025-02-09,cancelled
349,1449,Pro,2024-05-27,2025-03-27,active
350,1450,Basic,2023-04-23,2024-04-23,active
351,1458,Pro,2024-04-27,2024-10-27,cancelled
352,1462,Basic,2024-02-03,2024-03-03,active
353,1480,Pro,2023-03-23,2023-05-23,active
354,1483,Basic,2024-06-22,2025-05-22,cancelled
355,1485,Basic,2023-02-20,2023-09-20,cancelled
356,1488,Pro,2024-01-23,2024-02-23,cancelled
357,1489,Basic,2024-03-31,2025-01-31,cancelled
358,1495,Basic,2024-05-04,2024-06-04,cancelled
359,1496,Pro,2023-04-07,2023-11-07,cancelled
360,1498,Pro,2023-12-27,2024-02-27,cancelled
361,1500,Pro,2023-08-07,2023-11-07,cancelled
362,1501,Basic,2023-03-21,2023-08-21,cancelled
363,1506,Pro,2023-10-09,2024-08-09,cancelled
364,1509,Basic,2023-08-09,2024-06-09,cancelled
365,1511,Basic,2023-03-09,2024-03-09,cancelled
366,1518,Basic,2024-04-07,2024-05-07,cancelled
367,1526,Pro,2024-03-13,2024-07-13,cancelled
368,1528,Basic,2023-12-10,2024-12-10,cancelled
369,1531,Pro,2024-06-20,2024-10-20,cancelled
370,1538,Basic,2023-08-03,2024-05-03,active
371,1542,Pro,2023-11-27,2024-06-27,cancelled
372,1544,Pro,2023-04-13,2023-10-13,cancelled
373,1545,Pro,2023-02-28,2023-07-28,cancelled
374,1550,Basic,2023-05-22,2023-09-22,active
375,1555,Basic,2023-08-05,2023-12-05,cancelled
376,1558,Pro,2023-07-01,2023-09-01,active
377,1559,Basic,2023-07-30,2023-10-30,cancelled
378,1569,Basic,2023-06-23,2023-11-23,active
379,1570,Basic,2023-04-01,2024-03-01,active
380,1577,Basic,2023-05-31,2023-06-30,cancelled
381,1580,Basic,2024-07-13,2024-12-13,cancelled
382,1583,Pro,2023-08-04,2023-11-04,cancelled
383,1586,Pro,2024-04-09,2024-11-09,active
384,1592,Pro,2023-04-25,2023-09-25,cancelled
385,1609,Basic,2023-11-11,2024-06-11,cancelled
386,1613,Basic,2023-07-12,2024-05-12,cancelled
387,1616,Basic,2023-10-24,2024-04-24,active
388,1618,Basic,2023-09-06,2024-07-06,cancelled
389,1622,Basic,2024-05-20,2025-01-20,cancelled
390,1623,Basic,2023-12-10,2024-11-10,cancelled
391,1625,Basic,2024-04-04,2024-11-04,cancelled
392,1628,Pro,2023-05-18,2024-05-18,active
393,1630,Basic,2023-11-12,2024-09-12,active
394,1636,Basic,2023-05-07,2024-03-07,cancelled
395,1637,Basic,2024-03-09,2024-11-09,active
396,1639,Pro,2023-03-17,2023-07-17,cancelled
397,1642,Pro,2023-06-02,2023-09-02,active
398,1659,Basic,2023-08-20,2023-09-20,cancelled
399,1661,Basic,2023-09-07,2024-03-07,cancelled
400,1670,Pro,2024-05-22,2024-07-22,active
401,1680,Pro,2023-07-19,2023-11-19,cancelled
402,1684,Basic,2024-03-31,2024-08-31,cancelled
403,1686,Basic,2023-09-06,2024-01-06,cancelled
404,1688,Pro,2024-06-01,2024-09-01,active
405,1692,Pro,2023-05-05,2023-06-05,cancelled
406,1695,Basic,2024-04-08,2024-07-08,active
407,1699,Pro,2024-01-01,2024-05-01,cancelled
408,1701,Pro,2023-06-23,2023-07-23,cancelled
409,1703,Basic,2023-04-06,2023-11-06,cancelled
410,1704,Basic,2023-09-05,2024-08-05,cancelled
411,1708,Basic,2023-09-10,2024-07-10,cancelled
412,1712,Basic,2023-10-19,2024-05-19,cancelled
413,1715,Basic,2023-09-09,2023-12-09,cancelled
414,1717,Pro,2023-11-18,2024-02-18,active
415,1718,Basic,2023-07-30,2024-03-30,cancelled
416,1720,Basic,2023-07-20,2023-08-20,cancelled
417,1731,Pro,2023-02-03,2024-01-03,cancelled
418,1732,Basic,2023-02-25,2023-03-25,active
419,1734,Basic,2023-10-05,2024-07-05,cancelled
420,1735,Basic,2024-07-02,2024-12-02,cancelled
421,1739,Basic,2024-04-22,2025-04-22,cancelled
422,1743,Pro,2023-11-03,2024-01-03,active
423,1745,Basic,2023-07-05,2024-01-05,cancelled
424,1746,Basic,2024-03-03,2025-03-03,active
425,1752,Basic,2024-05-12,2025-01-12,active
426,1754,Pro,2024-05-13,2024-08-13,active
427,1757,Pro,2024-05-11,2024-10-11,cancelled
428,1761,Basic,2023-12-19,2024-01-19,cancelled
429,1763,Pro,2024-06-03,2024-10-03,cancelled
430,1764,Basic,2023-10-19,2024-01-19,cancelled
431,1767,Pro,2023-05-31,2023-09-30,cancelled
432,1769,Basic,2023-10-24,2024-09-24,cancelled
433,1774,Basic,2023-04-03,2024-03-03,cancelled
434,1779,Basic,2023-04-02,2024-03-02,active
435,1780,Basic,2023-10-09,2023-11-09,cancelled
436,1783,Pro,2024-05-02,2024-07-02,cancelled
437,1787,Pro,2023-05-29,2023-10-29,active
438,1789,Basic,2023-05-04,2023-11-04,active
439,1791,Basic,2024-05-15,2025-02-15,cancelled
440,1794,Basic,2023-05-13,2023-12-13,cancelled
441,1796,Pro,2023-03-20,2023-12-20,active
442,1797,Basic,2023-08-07,2024-03-07,active
443,1800,Pro,2024-06-23,2025-01-23,active
444,1802,Basic,2023-06-26,2024-05-26,cancelled
445,1808,Pro,2023-11-06,2024-04-06,active
446,1809,Basic,2023-11-07,2024-03-07,cancelled
447,1811,Basic,2023-04-05,2024-02-05,active
448,1826,Pro,2023-05-16,2023-12-16,active
449,1831,Basic,2023-03-07,2023-11-07,cancelled
450,1842,Basic,2023-02-01,2023-11-01,cancelled
451,1846,Basic,2024-06-20,2024-07-20,active
452,1847,Pro,2024-07-14,2025-05-14,cancelled
453,1848,Basic,2023-06-06,2023-10-06,active
454,1850,Pro,2023-02-23,2023-10-23,cancelled
455,1852,Enterprise,2024-03-17,2024-05-17,cancelled
456,1855,Pro,2023-09-06,2024-02-06,active
457,1856,Pro,2023-05-14,2024-03-14,active
458,1858,Basic,2023-04-18,2023-12-18,active
459,1865,Basic,2024-03-01,2024-05-01,cancelled
460,1866,Basic,2024-04-06,2025-03-06,cancelled
461,1875,Basic,2023-02-20,2023-11-20,cancelled
462,1879,Basic,2023-05-01,2023-10-01,active
463,1880,Basic,2023-08-11,2024-07-11,active
464,1887,Basic,2023-11-24,2024-01-24,active
465,1888,Pro,2023-05-19,2023-08-19,cancelled
466,1890,Pro,2024-04-24,2025-04-24,cancelled
467,1896,Basic,2024-01-21,2024-08-21,cancelled
468,1898,Basic,2023-11-03,2024-09-03,cancelled
469,1902,Pro,2023-05-21,2024-02-21,active
470,1905,Pro,2023-12-20,2024-01-20,cancelled
471,1906,Pro,2023-12-04,2024-03-04,cancelled
472,1912,Basic,2023-02-23,2024-02-23,active
473,1918,Basic,2024-03-13,2025-01-13,active
474,1919,Basic,2024-06-01,2025-01-01,cancelled
475,1920,Basic,2023-03-20,2023-10-20,cancelled
476,1923,Pro,2023-07-01,2024-02-01,cancelled
477,1925,Basic,2023-09-24,2024-01-24,cancelled
478,1927,Pro,2023-10-19,2024-04-19,active
479,1932,Basic,2023-06-28,2024-05-28,cancelled
480,1934,Basic,2023-11-01,2024-09-01,cancelled
481,1936,Basic,2023-12-04,2024-02-04,cancelled
482,1947,Basic,2023-07-17,2023-12-17,cancelled
483,1949,Basic,2024-01-23,2024-12-23,cancelled
484,1950,Pro,2023-05-13,2023-12-13,cancelled
485,1958,Basic,2023-01-29,2023-06-29,active
486,1960,Basic,2023-10-12,2024-08-12,active
487,1962,Basic,2023-03-04,2023-04-04,active
488,1963,Basic,2023-06-21,2024-06-21,cancelled
489,1964,Pro,2023-07-19,2024-01-19,cancelled
490,1971,Pro,2023-10-02,2024-09-02,cancelled
491,1976,Basic,2023-05-10,2024-03-10,cancelled
492,1977,Basic,2023-03-09,2023-10-09,cancelled
493,1978,Basic,2024-02-27,2024-07-27,cancelled
494,1980,Basic,2024-06-30,2025-03-30,cancelled
495,1981,Basic,2024-02-01,2024-04-01,active
496,1982,Pro,2023-04-19,2023-12-19,cancelled
497,1984,Basic,2024-04-20,2024-11-20,active
498,1988,Basic,2023-06-21,2023-07-21,cancelled
499,1995,Pro,2023-09-18,2024-09-18,cancelled
500,2003,Basic,2023-08-10,2023-12-10,active
501,2004,Pro,2023-10-22,2024-08-22,active
502,2010,Pro,2023-12-17,2024-11-17,active
503,2014,Basic,2023-07-17,2024-03-17,cancelled
504,2020,Basic,2023-12-05,2024-07-05,active
505,2021,Basic,2024-04-28,2024-09-28,cancelled
506,2022,Pro,2024-05-20,2024-12-20,cancelled
507,2023,Basic,2023-02-18,2023-09-18,active
508,2024,Pro,2023-02-10,2023-12-10,cancelled
509,2035,Pro,2023-06-03,2024-03-03,cancelled
510,2039,Basic,2024-07-12,2024-08-12,cancelled
511,2044,Basic,2023-03-23,2023-07-23,cancelled
512,2064,Basic,2024-06-02,2024-12-02,cancelled
513,2068,Basic,2023-01-24,2023-04-24,active
514,2071,Basic,2023-09-17,2024-04-17,active
515,2073,Pro,2023-12-11,2024-04-11,active
516,2080,Pro,2023-08-24,2023-11-24,cancelled
517,2083,Pro,2024-03-06,2024-12-06,cancelled
518,2096,Pro,2023-09-05,2024-04-05,active
519,2097,Basic,2023-04-01,2024-04-01,cancelled
520,2100,Basic,2023-11-22,2024-10-22,active
521,2104,Pro,2024-02-23,2024-10-23,cancelled
522,2107,Basic,2023-10-18,2024-03-18,active
523,2108,Basic,2023-05-26,2023-06-26,cancelled
524,2112,Basic,2023-07-05,2024-03-05,cancelled
525,2113,Basic,2024-01-15,2024-02-15,cancelled
526,2115,Pro,2024-07-12,2025-06-12,cancelled
527,2116,Basic,2023-03-19,2024-01-19,active
528,2122,Pro,2023-05-29,2024-03-29,cancelled
