user_id,signup_date,country,acquisition_channel,device_type
99,2024-01-20,Australia,"Google Ads",Tablet
100,2023-07-01,USA,"Facebook Ads",Desktop
101,2023-01-28,Canada,Referral,Desktop
102,2023-10-27,UK,"LinkedIn Ads",Desktop
103,2023-01-25,USA,Referral,Mobile
104,2023-03-17,Canada,"Google Ads",Mobile
105,2023-12-05,UK,"LinkedIn Ads",Tablet
106,2024-03-27,USA,"LinkedIn Ads",Tablet
107,2024-01-22,Canada,Organic,Tablet
108,2024-03-24,USA,Referral,Tablet
109,2024-03-19,UK,"Facebook Ads",Tablet
110,2023-07-22,USA,"Facebook Ads",Desktop
111,2023-07-24,USA,Referral,Tablet
112,2024-05-30,Germany,"Facebook Ads",Mobile
113,2023-02-14,USA,"Google Ads",Mobile
114,2023-07-12,India,"Google Ads",Mobile
115,2023-07-10,UK,Organic,Desktop
116,2023-11-07,Canada,"LinkedIn Ads",Desktop
117,2024-01-31,Canada,"LinkedIn Ads",Desktop
118,2024-03-10,India,"Google Ads",Tablet
119,2024-06-10,India,"Google Ads",Tablet
120,2023-01-15,Germany,"Google Ads",Desktop
121,2024-03-18,Canada,"Google Ads",Tablet
122,2024-04-05,Australia,Referral,Mobile
123,2023-09-01,Germany,"Facebook Ads",Tablet
124,2023-07-22,UK,Organic,Desktop
125,2023-06-21,UK,"LinkedIn Ads",Mobile
126,2023-02-22,USA,"Google Ads",Tablet
127,2024-05-27,Canada,"Google Ads",Mobile
128,2024-04-18,India,"Google Ads",Mobile
129,2024-01-20,Germany,"Google Ads",Tablet
130,2023-07-21,Australia,"Google Ads",Mobile
131,2023-03-05,USA,Referral,Desktop
132,2023-04-13,UK,"Facebook Ads",Tablet
133,2024-05-12,Australia,"Facebook Ads",Tablet
134,2023-09-09,Australia,Referral,Tablet
135,2024-01-12,USA,"LinkedIn Ads",Mobile
136,2023-12-20,Canada,"Facebook Ads",Mobile
137,2024-05-17,Canada,"Google Ads",Tablet
138,2024-02-10,Australia,Organic,Mobile
139,2023-07-22,Canada,Organic,Mobile
140,2023-07-04,Canada,Referral,Mobile
141,2024-01-18,Canada,"Google Ads",Tablet
142,2024-06-27,India,"Google Ads",Mobile
143,2023-04-12,India,Referral,Desktop
144,2023-04-19,Canada,"Google Ads",Desktop
145,2023-12-16,Canada,"LinkedIn Ads",Mobile
146,2023-10-24,Australia,"Facebook Ads",Desktop
147,2023-06-04,USA,"Google Ads",Desktop
148,2023-12-10,Australia,Organic,Tablet
149,2024-04-26,Canada,"Google Ads",Mobile
150,2023-10-07,Australia,"Facebook Ads",Mobile
151,2023-07-08,Germany,Referral,Desktop
152,2023-01-16,Germany,"Facebook Ads",Mobile
153,2023-11-11,Germany,"Facebook Ads",Mobile
154,2024-01-16,Australia,"LinkedIn Ads",Tablet
155,2024-04-24,Canada,Referral,Tablet
156,2023-01-23,USA,"Facebook Ads",Mobile
157,2023-03-27,UK,"Facebook Ads",Desktop
158,2023-03-13,Canada,"Facebook Ads",Desktop
159,2023-04-08,UK,Referral,Mobile
160,2023-01-16,Canada,"Facebook Ads",Mobile
161,2023-09-01,UK,"Facebook Ads",Desktop
162,2023-01-29,Australia,Organic,Mobile
163,2023-03-15,UK,"Google Ads",Desktop
164,2023-09-27,India,"LinkedIn Ads",Mobile
165,2024-05-27,USA,"Facebook Ads",Mobile
166,2024-06-08,Australia,"LinkedIn Ads",Mobile
167,2024-06-09,USA,"Facebook Ads",Tablet
168,2024-02-29,USA,Referral,Desktop
169,2023-02-12,USA,"Facebook Ads",Mobile
170,2023-03-12,Canada,Organic,Desktop
171,2023-02-24,Australia,Organic,Mobile
172,2023-10-17,Canada,"LinkedIn Ads",Desktop
173,2024-03-30,Australia,Referral,Tablet
174,2023-03-13,Australia,"LinkedIn Ads",Mobile
175,2023-07-13,Canada,Organic,Desktop
176,2023-08-31,Germany,"Google Ads",Desktop
177,2023-03-23,UK,"Google Ads",Tablet
178,2023-09-17,UK,Referral,Tablet
179,2024-06-20,Germany,"LinkedIn Ads",Desktop
180,2023-06-16,India,"Google Ads",Mobile
181,2024-05-25,USA,Organic,Desktop
182,2023-11-02,Canada,Referral,Mobile
183,2023-09-30,Australia,"Facebook Ads",Mobile
184,2024-02-06,India,"Facebook Ads",Mobile
185,2023-08-02,USA,"Facebook Ads",Tablet
186,2023-04-14,USA,"Facebook Ads",Mobile
187,2024-01-22,Australia,"Facebook Ads",Desktop
188,2024-06-10,Canada,"Google Ads",Mobile
189,2024-05-19,USA,"LinkedIn Ads",Desktop
190,2023-11-03,USA,Referral,Mobile
191,2023-07-14,India,Organic,Desktop
192,2023-01-29,USA,"Facebook Ads",Mobile
193,2023-11-08,Australia,Referral,Mobile
194,2024-02-25,USA,Organic,Desktop
195,2023-08-05,UK,"Google Ads",Tablet
196,2024-05-08,India,Referral,Desktop
197,2023-06-02,USA,"Google Ads",Tablet
198,2023-11-06,Australia,Referral,Mobile
199,2024-06-16,Australia,Organic,Desktop
200,2024-06-23,India,"Facebook Ads",Mobile
201,2023-11-15,UK,"LinkedIn Ads",Mobile
202,2023-11-01,Canada,Organic,Desktop
203,2023-06-20,Germany,"LinkedIn Ads",Tablet
204,2024-03-24,Australia,Referral,Tablet
205,2023-03-31,USA,"Google Ads",Mobile
206,2023-09-04,UK,"Google Ads",Desktop
207,2024-05-19,Canada,Referral,Mobile
208,2023-07-18,UK,"Google Ads",Mobile
209,2023-11-22,Germany,"Facebook Ads",Desktop
210,2023-10-20,USA,"LinkedIn Ads",Tablet
211,2023-05-14,Canada,Organic,Tablet
212,2023-09-25,India,Referral,Desktop
213,2024-03-17,Germany,Organic,Desktop
214,2023-02-28,UK,"LinkedIn Ads",Tablet
215,2023-07-31,Germany,Organic,Desktop
216,2024-01-06,Canada,"LinkedIn Ads",Desktop
217,2023-07-29,UK,"Facebook Ads",Tablet
218,2023-04-17,Germany,Organic,Mobile
219,2023-01-28,Canada,"LinkedIn Ads",Tablet
220,2023-04-30,Canada,Organic,Tablet
221,2023-12-01,Canada,"Google Ads",Tablet
222,2023-07-26,UK,"LinkedIn Ads",Desktop
223,2024-06-17,India,Referral,Tablet
224,2023-11-24,USA,Organic,Desktop
225,2024-02-15,India,"Facebook Ads",Tablet
226,2023-11-28,India,Organic,Mobile
227,2023-04-01,Canada,"LinkedIn Ads",Desktop
228,2023-08-19,USA,"LinkedIn Ads",Desktop
229,2024-02-23,Canada,"Google Ads",Tablet
230,2023-11-15,Canada,"Facebook Ads",Mobile
231,2023-03-20,USA,"LinkedIn Ads",Mobile
232,2023-12-18,India,Organic,Tablet
233,2023-05-13,USA,"LinkedIn Ads",Desktop
234,2023-10-30,Australia,"Facebook Ads",Mobile
235,2023-11-21,UK,Referral,Tablet
236,2023-07-02,Australia,"Facebook Ads",Desktop
237,2023-03-14,India,"LinkedIn Ads",Tablet
238,2023-03-22,India,"LinkedIn Ads",Mobile
239,2023-06-13,USA,Organic,Mobile
240,2023-03-25,Australia,"LinkedIn Ads",Desktop
241,2024-01-09,India,"LinkedIn Ads",Tablet
242,2023-10-21,Australia,Organic,Desktop
243,2023-05-11,Germany,Referral,Desktop
244,2023-06-11,Canada,"Google Ads",Mobile
245,2024-01-10,Canada,"LinkedIn Ads",Mobile
246,2023-07-21,UK,Referral,Tablet
247,2023-06-08,USA,"Google Ads",Tablet
248,2023-03-02,UK,"Google Ads",Mobile
249,2024-05-01,India,"Google Ads",Tablet
250,2024-04-23,Germany,"Facebook Ads",Desktop
251,2024-01-19,Germany,Referral,Desktop
252,2023-03-11,India,Organic,Tablet
253,2023-02-24,Australia,"Facebook Ads",Mobile
254,2023-02-24,USA,"Facebook Ads",Tablet
255,2023-12-28,Australia,"Facebook Ads",Desktop
256,2024-06-16,UK,"Google Ads",Mobile
257,2023-02-05,USA,"Google Ads",Desktop
258,2023-02-24,Canada,Referral,Mobile
259,2024-05-22,Australia,Organic,Mobile
260,2023-09-10,USA,"Facebook Ads",Mobile
261,2023-08-03,India,Referral,Tablet
262,2023-05-01,UK,"Facebook Ads",Desktop
263,2024-05-05,UK,"LinkedIn Ads",Tablet
264,2024-02-17,UK,Organic,Mobile
265,2023-02-19,UK,Organic,Mobile
266,2023-07-23,UK,"LinkedIn Ads",Mobile
267,2024-05-07,India,Organic,Tablet
268,2023-05-26,India,"LinkedIn Ads",Tablet
269,2023-06-02,Australia,Organic,Desktop
270,2023-12-13,Australia,"Google Ads",Tablet
271,2023-11-14,Australia,"Facebook Ads",Desktop
272,2024-02-08,India,"Facebook Ads",Desktop
273,2023-05-01,USA,"Google Ads",Desktop
274,2023-04-14,Australia,Referral,Mobile
275,2023-04-04,Australia,Referral,Tablet
276,2023-06-02,USA,"LinkedIn Ads",Desktop
277,2024-03-13,Canada,"Facebook Ads",Tablet
278,2023-07-19,India,Organic,Tablet
279,2023-02-06,Canada,Organic,Tablet
280,2024-02-08,Australia,"Facebook Ads",Desktop
281,2024-06-02,India,Organic,Desktop
282,2023-07-12,UK,"Google Ads",Tablet
283,2023-02-14,USA,"Facebook Ads",Desktop
284,2023-02-21,Germany,Referral,Desktop
285,2023-08-24,Germany,"LinkedIn Ads",Tablet
286,2024-02-19,UK,"Facebook Ads",Desktop
287,2023-04-20,India,"Google Ads",Mobile
288,2024-03-17,USA,"Facebook Ads",Desktop
289,2023-01-15,India,"Facebook Ads",Desktop
290,2023-10-27,USA,Referral,Mobile
291,2024-06-15,Australia,Referral,Mobile
292,2023-06-27,India,"Google Ads",Desktop
293,2023-02-05,Australia,"LinkedIn Ads",Desktop
294,2024-04-16,Australia,"LinkedIn Ads",Tablet
295,2024-01-24,Germany,"Google Ads",Desktop
296,2023-04-27,Germany,"LinkedIn Ads",Desktop
297,2023-03-28,India,Organic,Tablet
298,2023-06-19,Australia,Referral,Mobile
299,2023-10-03,Australia,"Google Ads",Desktop
300,2023-08-16,Canada,"Google Ads",Tablet
301,2023-12-01,India,"Google Ads",Mobile
302,2023-09-29,UK,"Facebook Ads",Desktop
303,2023-06-19,Australia,"Facebook Ads",Mobile
304,2023-11-27,Canada,"LinkedIn Ads",Tablet
305,2024-05-16,UK,Referral,Mobile
306,2023-03-26,Canada,"LinkedIn Ads",Desktop
307,2024-02-15,USA,"Google Ads",Mobile
308,2023-10-07,USA,"LinkedIn Ads",Desktop
309,2023-09-19,Germany,Organic,Tablet
310,2023-06-06,India,Organic,Desktop
311,2023-12-03,USA,Organic,Mobile
312,2023-09-06,India,"LinkedIn Ads",Mobile
313,2023-06-09,Australia,"LinkedIn Ads",Mobile
314,2023-02-13,USA,"Facebook Ads",Tablet
315,2023-07-05,Australia,"Facebook Ads",Mobile
316,2024-05-17,USA,Organic,Tablet
317,2023-07-31,India,"LinkedIn Ads",Tablet
318,2023-04-15,Australia,"LinkedIn Ads",Mobile
319,2024-03-28,Germany,"Google Ads",Tablet
320,2023-09-08,Germany,Organic,Desktop
321,2024-05-12,Germany,"LinkedIn Ads",Desktop
322,2024-01-23,UK,Organic,Mobile
323,2023-05-19,Australia,Organic,Tablet
324,2023-09-11,Canada,Organic,Tablet
325,2024-05-16,UK,Referral,Mobile
326,2023-05-26,Germany,"LinkedIn Ads",Mobile
327,2024-03-29,Australia,Organic,Desktop
328,2024-02-14,Germany,"LinkedIn Ads",Tablet
329,2023-07-30,Germany,"LinkedIn Ads",Mobile
330,2023-05-24,Germany,Referral,Desktop
331,2023-08-16,UK,"Facebook Ads",Desktop
332,2024-01-13,UK,Organic,Mobile
333,2023-05-14,India,"Facebook Ads",Tablet
334,2023-10-13,Australia,"LinkedIn Ads",Tablet
335,2024-01-21,Canada,"Facebook Ads",Tablet
336,2023-05-07,Australia,Organic,Tablet
337,2024-02-06,Germany,"LinkedIn Ads",Tablet
338,2023-03-23,Canada,"Facebook Ads",Tablet
339,2023-02-09,India,"Facebook Ads",Desktop
340,2023-12-29,Australia,"Google Ads",Mobile
341,2024-06-09,Germany,Referral,Desktop
342,2023-05-16,UK,Referral,Mobile
343,2024-03-21,USA,"LinkedIn Ads",Desktop
344,2024-04-07,India,Organic,Desktop
345,2023-02-25,USA,Referral,Tablet
346,2023-09-29,USA,"Google Ads",Desktop
347,2024-05-15,Canada,Referral,Mobile
348,2024-02-19,UK,"Facebook Ads",Tablet
349,2023-09-29,USA,"Google Ads",Mobile
350,2024-01-29,USA,"Google Ads",Mobile
351,2023-08-24,India,"Google Ads",Desktop
352,2023-09-26,Germany,"LinkedIn Ads",Mobile
353,2024-05-25,Australia,"Facebook Ads",Desktop
354,2023-09-21,UK,Organic,Desktop
355,2023-01-09,UK,Referral,Tablet
356,2023-03-31,Germany,"Google Ads",Desktop
357,2023-04-15,Germany,"Facebook Ads",Tablet
358,2024-01-30,Australia,"Google Ads",Mobile
359,2023-05-05,USA,"Google Ads",Mobile
360,2023-06-05,India,Organic,Mobile
361,2023-10-22,UK,"Facebook Ads",Tablet
362,2024-05-06,India,"LinkedIn Ads",Tablet
363,2023-12-01,USA,"Google Ads",Tablet
364,2023-06-22,USA,"Google Ads",Tablet
365,2023-07-05,India,Organic,Desktop
366,2024-01-08,UK,"Google Ads",Mobile
367,2024-02-18,USA,"LinkedIn Ads",Desktop
368,2023-07-10,Australia,"Facebook Ads",Tablet
369,2024-04-30,UK,Referral,Mobile
370,2023-04-28,USA,"Google Ads",Desktop
371,2023-07-28,USA,"Google Ads",Tablet
372,2023-06-22,Australia,Referral,Mobile
373,2024-03-08,USA,"Facebook Ads",Tablet
374,2024-03-24,India,"LinkedIn Ads",Tablet
375,2024-06-21,India,Organic,Mobile
376,2023-01-14,USA,"Google Ads",Mobile
377,2023-07-30,Canada,"LinkedIn Ads",Tablet
378,2023-07-26,USA,"Google Ads",Desktop
379,2024-06-14,Canada,"Facebook Ads",Tablet
380,2024-05-03,USA,Referral,Tablet
381,2023-10-08,Australia,"Facebook Ads",Desktop
382,2023-12-02,India,"Google Ads",Tablet
383,2023-03-15,Canada,"LinkedIn Ads",Tablet
384,2023-02-08,Australia,Referral,Desktop
385,2024-05-02,UK,"Facebook Ads",Mobile
386,2023-03-02,India,"LinkedIn Ads",Desktop
387,2023-04-03,Canada,Organic,Desktop
388,2023-07-09,USA,Organic,Tablet
389,2023-02-15,Australia,Organic,Desktop
390,2023-04-06,Australia,"Google Ads",Desktop
391,2023-12-19,Germany,Referral,Tablet
392,2023-03-26,UK,Referral,Mobile
393,2023-12-31,UK,Referral,Desktop
394,2023-01-29,Australia,Referral,Desktop
395,2024-01-22,UK,"Facebook Ads",Desktop
396,2024-06-25,USA,"LinkedIn Ads",Mobile
397,2024-01-30,USA,Organic,Desktop
398,2024-01-16,USA,"Google Ads",Mobile
399,2023-09-01,Germany,"Google Ads",Mobile
400,2024-01-13,Germany,"LinkedIn Ads",Desktop
401,2023-08-13,Canada,"Facebook Ads",Tablet
402,2024-05-26,UK,Referral,Mobile
403,2024-01-02,Australia,"LinkedIn Ads",Mobile
404,2023-10-16,Germany,Referral,Mobile
405,2024-05-21,India,Organic,Desktop
406,2023-08-20,USA,"LinkedIn Ads",Mobile
407,2024-06-08,India,"Google Ads",Desktop
408,2023-03-17,Canada,Organic,Mobile
409,2023-04-19,Canada,Organic,Mobile
410,2023-12-17,Canada,"Google Ads",Tablet
411,2023-09-02,India,"Facebook Ads",Mobile
412,2023-10-04,Australia,Referral,Tablet
413,2023-07-12,Canada,Referral,Desktop
414,2024-03-10,Canada,Organic,Mobile
415,2024-01-03,Canada,"Facebook Ads",Mobile
416,2024-03-25,UK,"Google Ads",Tablet
417,2024-06-19,Canada,"LinkedIn Ads",Mobile
418,2023-02-04,India,Referral,Tablet
419,2023-04-22,Germany,"Google Ads",Mobile
420,2024-01-23,India,"Facebook Ads",Desktop
421,2023-07-17,India,"Facebook Ads",Tablet
422,2023-12-04,USA,"Google Ads",Tablet
423,2023-04-27,Germany,"Facebook Ads",Desktop
424,2023-06-18,Australia,Referral,Tablet
425,2024-01-25,India,Organic,Tablet
426,2023-04-15,USA,"LinkedIn Ads",Tablet
427,2023-05-02,UK,Referral,Tablet
428,2024-05-18,UK,"LinkedIn Ads",Tablet
429,2023-06-30,UK,Referral,Desktop
430,2023-03-24,Germany,Organic,Mobile
431,2023-10-10,UK,"LinkedIn Ads",Mobile
432,2023-10-07,Australia,Organic,Tablet
433,2023-07-03,USA,Organic,Desktop
434,2023-04-20,Germany,"Facebook Ads",Desktop
435,2023-09-11,Canada,Referral,Tablet
436,2024-04-21,Canada,Referral,Tablet
437,2023-11-23,India,Organic,Mobile
438,2023-11-26,Canada,Referral,Mobile
439,2023-03-03,India,Referral,Mobile
440,2023-03-20,Australia,"LinkedIn Ads",Desktop
441,2024-02-26,India,"Facebook Ads",Mobile
442,2023-11-03,Germany,"Google Ads",Mobile
443,2023-05-24,UK,"LinkedIn Ads",Mobile
444,2024-05-29,Germany,Referral,Tablet
445,2024-04-11,USA,"Facebook Ads",Tablet
446,2024-01-27,Canada,Organic,Tablet
447,2023-05-12,UK,"Google Ads",Tablet
448,2023-08-30,USA,"Google Ads",Mobile
449,2023-09-23,UK,"Facebook Ads",Mobile
450,2024-05-08,Australia,Referral,Mobile
451,2024-03-06,Canada,Referral,Tablet
452,2023-05-12,Canada,"Facebook Ads",Mobile
453,2023-09-08,UK,"Facebook Ads",Mobile
454,2023-04-21,Germany,"LinkedIn Ads",Desktop
455,2024-02-19,India,Organic,Tablet
456,2023-12-04,Canada,"Facebook Ads",Desktop
457,2024-04-20,Germany,"LinkedIn Ads",Desktop
458,2024-05-07,India,Referral,Tablet
459,2023-05-24,Australia,"Facebook Ads",Desktop
460,2023-07-19,Germany,Organic,Desktop
461,2024-01-03,Australia,"Facebook Ads",Tablet
462,2023-11-19,UK,"Facebook Ads",Desktop
463,2024-06-14,Canada,"LinkedIn Ads",Mobile
464,2023-01-18,UK,"Facebook Ads",Mobile
465,2024-06-30,India,Referral,Desktop
466,2024-06-30,USA,"Facebook Ads",Tablet
467,2024-03-13,Canada,"LinkedIn Ads",Desktop
468,2024-01-26,USA,"LinkedIn Ads",Desktop
469,2023-03-07,Australia,"Google Ads",Desktop
470,2023-03-25,Canada,"Google Ads",Mobile
471,2024-04-22,Australia,"Facebook Ads",Desktop
472,2023-05-25,USA,"LinkedIn Ads",Mobile
473,2023-09-15,Germany,"Google Ads",Desktop
474,2023-01-27,Germany,"Google Ads",Tablet
475,2024-01-21,USA,Referral,Desktop
476,2023-09-06,Germany,"Google Ads",Desktop
477,2023-02-19,UK,"Google Ads",Mobile
478,2023-08-20,Canada,Referral,Desktop
479,2023-08-08,UK,"Google Ads",Mobile
480,2024-05-17,Germany,"LinkedIn Ads",Mobile
481,2023-05-26,India,Organic,Desktop
482,2023-04-19,India,Organic,Mobile
483,2024-06-14,Australia,"Facebook Ads",Desktop
484,2023-07-20,Canada,"Facebook Ads",Tablet
485,2024-06-19,Germany,Referral,Desktop
486,2024-01-24,USA,Organic,Tablet
487,2023-05-08,USA,"Google Ads",Desktop
488,2024-02-04,Germany,"Google Ads",Desktop
489,2023-12-09,Germany,"LinkedIn Ads",Desktop
490,2023-09-15,Australia,"Facebook Ads",Desktop
491,2023-06-05,UK,"LinkedIn Ads",Desktop
492,2023-06-15,Australia,"Facebook Ads",Desktop
493,2023-06-19,Canada,Organic,Desktop
494,2023-08-14,India,"Facebook Ads",Mobile
495,2023-04-02,India,"Facebook Ads",Desktop
496,2024-04-07,Germany,"Google Ads",Tablet
497,2023-09-26,Australia,"Facebook Ads",Mobile
498,2023-04-18,Australia,Organic,Desktop
499,2023-10-24,Australia,Organic,Mobile
500,2023-08-27,India,"Google Ads",Desktop
501,2023-02-06,India,"Google Ads",Mobile
502,2023-06-06,UK,"LinkedIn Ads",Desktop
503,2023-03-30,India,"LinkedIn Ads",Mobile
504,2024-02-14,India,"Facebook Ads",Tablet
505,2024-05-26,Australia,"Google Ads",Mobile
506,2023-08-06,India,Referral,Desktop
507,2023-09-09,Australia,"LinkedIn Ads",Desktop
508,2023-01-27,UK,Organic,Desktop
509,2023-01-21,USA,"Facebook Ads",Desktop
510,2023-03-14,Canada,Referral,Tablet
511,2023-05-08,Canada,"Facebook Ads",Desktop
512,2023-08-06,Australia,"LinkedIn Ads",Tablet
513,2023-03-25,Canada,"LinkedIn Ads",Tablet
514,2024-03-15,Canada,"LinkedIn Ads",Desktop
515,2023-10-05,UK,"LinkedIn Ads",Desktop
516,2023-12-22,Canada,Referral,Mobile
517,2023-07-06,Canada,"Google Ads",Tablet
518,2023-08-27,USA,Organic,Mobile
519,2023-07-03,USA,Organic,Mobile
520,2023-09-15,Germany,"Google Ads",Tablet
521,2023-06-05,UK,"Facebook Ads",Desktop
522,2023-03-13,Canada,Organic,Desktop
523,2024-06-03,Germany,Organic,Tablet
524,2023-04-22,Germany,Referral,Tablet
525,2023-11-20,Canada,"Google Ads",Tablet
526,2024-03-27,Canada,Organic,Mobile
527,2023-03-25,Australia,"Google Ads",Desktop
528,2024-04-17,India,Organic,Tablet
529,2024-04-03,UK,"Facebook Ads",Tablet
530,2024-05-08,Canada,Referral,Tablet
531,2024-01-22,USA,Organic,Mobile
532,2024-02-10,Australia,Referral,Desktop
533,2023-03-23,USA,"Google Ads",Tablet
534,2023-08-19,Australia,"LinkedIn Ads",Tablet
535,2024-03-14,USA,"LinkedIn Ads",Tablet
536,2023-06-13,Australia,Referral,Tablet
537,2023-01-12,India,Organic,Tablet
538,2024-06-13,Germany,"LinkedIn Ads",Tablet
539,2023-01-08,Australia,Referral,Tablet
540,2023-11-17,USA,"Google Ads",Desktop
541,2024-04-16,UK,"Google Ads",Desktop
542,2024-01-25,Germany,Organic,Desktop
543,2024-02-20,Australia,"Facebook Ads",Tablet
544,2023-05-08,Australia,Organic,Desktop
545,2023-02-20,Germany,"Facebook Ads",Tablet
546,2023-04-27,Australia,"Google Ads",Mobile
547,2023-12-25,Canada,Organic,Mobile
548,2023-03-15,Australia,Organic,Tablet
549,2023-09-30,India,"Facebook Ads",Desktop
550,2023-05-31,Germany,Referral,Mobile
551,2023-12-21,Australia,Organic,Mobile
552,2023-07-30,India,Referral,Mobile
553,2023-03-31,Australia,Organic,Mobile
554,2024-02-27,UK,Referral,Desktop
555,2023-04-01,Germany,Referral,Mobile
556,2023-11-19,Canada,Referral,Mobile
557,2023-11-30,India,"Facebook Ads",Desktop
558,2024-04-09,USA,"LinkedIn Ads",Desktop
559,2023-01-22,Canada,"LinkedIn Ads",Mobile
560,2024-04-20,UK,"LinkedIn Ads",Desktop
561,2023-01-19,USA,Referral,Mobile
562,2023-06-05,Canada,"Facebook Ads",Desktop
563,2023-05-05,Australia,"Google Ads",Tablet
564,2023-04-05,UK,"Google Ads",Mobile
565,2024-01-06,India,"Facebook Ads",Mobile
566,2023-09-01,USA,"LinkedIn Ads",Tablet
567,2023-05-16,UK,"LinkedIn Ads",Desktop
568,2023-10-03,Canada,"Google Ads",Mobile
